2016 Data:
AccountsPayableCurrent: 20397000000
AccountsPayableCurrent: 25309000000
AccountsReceivableNetCurrent: 5654000000
AccountsReceivableNetCurrent: 8339000000
AccruedLiabilitiesCurrent: 10372000000
AccruedLiabilitiesCurrent: 13739000000
AccruedLiabilitiesForUnredeeemedGiftCards: 2000000000
AccruedLiabilitiesForUnredeeemedGiftCards: 2400000000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment: 8215000000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment: 13327000000
AccumulatedOtherComprehensiveIncomeLossNetOfTax: -185000000
AccumulatedOtherComprehensiveIncomeLossNetOfTax: -511000000
AccumulatedOtherComprehensiveIncomeLossNetOfTax: -723000000
AccumulatedOtherComprehensiveIncomeLossNetOfTax: -985000000
AdditionalPaidInCapital: 13394000000
AdditionalPaidInCapital: 17186000000
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation: 6000000
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation: 119000000
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation: 829000000
AllocatedShareBasedCompensationExpense: 1497000000
AllocatedShareBasedCompensationExpense: 2119000000
AllocatedShareBasedCompensationExpense: 2975000000
AllowanceForDoubtfulAccountsReceivable: 190000000
AllowanceForDoubtfulAccountsReceivable: 189000000
AllowanceForDoubtfulAccountsReceivable: 237000000
AllowanceForDoubtfulAccountsReceivableWriteOffs: 188000000
AllowanceForDoubtfulAccountsReceivableWriteOffs: 290000000
AllowanceForDoubtfulAccountsReceivableWriteOffs: 403000000
AmortizationOfIntangibleAssets: 215000000
AmortizationOfIntangibleAssets: 270000000
AmortizationOfIntangibleAssets: 287000000
AmortizationOfLeasedAsset: 1500000000
AmortizationOfLeasedAsset: 2700000000
AmortizationOfLeasedAsset: 3800000000
Assets: 54505000000
Assets: 64747000000
Assets: 83402000000
AssetsCurrent: 35705000000
AssetsCurrent: 45781000000
AvailableForSaleSecuritiesGrossRealizedGains: 8000000
AvailableForSaleSecuritiesGrossRealizedGains: 2000000
AvailableForSaleSecuritiesGrossRealizedGains: 3000000
AvailableForSaleSecuritiesGrossRealizedLosses: 5000000
AvailableForSaleSecuritiesGrossRealizedLosses: 7000000
AvailableForSaleSecuritiesGrossRealizedLosses: 11000000
CapitalizedComputerSoftwareAdditions: 641000000
CapitalizedComputerSoftwareAdditions: 642000000
CapitalizedComputerSoftwareAdditions: 511000000
CapitalizedComputerSoftwareAmortization1: 559000000
CapitalizedComputerSoftwareAmortization1: 635000000
CapitalizedComputerSoftwareAmortization1: 634000000
CapitalizedComputerSoftwareGross: 1400000000
CapitalizedComputerSoftwareGross: 1400000000
CapitalLeasedAssetsGross: 12000000000
CapitalLeasedAssetsGross: 17000000000
CapitalLeaseObligations: 9406000000
CapitalLeaseObligationsCurrent: 3000000000
CapitalLeaseObligationsCurrent: 3997000000
CapitalLeaseObligationsNoncurrent: 4212000000
CapitalLeaseObligationsNoncurrent: 5080000000
CapitalLeasesFutureMinimumPaymentsDue: 9406000000
CapitalLeasesFutureMinimumPaymentsDueCurrent: 3910000000
CapitalLeasesFutureMinimumPaymentsDueInFiveYears: 190000000
CapitalLeasesFutureMinimumPaymentsDueInFourYears: 411000000
CapitalLeasesFutureMinimumPaymentsDueInThreeYears: 1662000000
CapitalLeasesFutureMinimumPaymentsDueInTwoYears: 3008000000
CapitalLeasesFutureMinimumPaymentsDueThereafter: 225000000
CapitalLeasesFutureMinimumPaymentsInterestIncludedInPayments: 329000000
CapitalLeasesFutureMinimumPaymentsPresentValueOfNetMinimumPayments: 9077000000
CapitalLeasesLesseeBalanceSheetAssetsByMajorClassAccumulatedDeprecation: 5400000000
CapitalLeasesLesseeBalanceSheetAssetsByMajorClassAccumulatedDeprecation: 8500000000
CashAndCashEquivalentsAtCarryingValue: 8658000000
CashAndCashEquivalentsAtCarryingValue: 14557000000
CashAndCashEquivalentsAtCarryingValue: 15890000000
CashAndCashEquivalentsAtCarryingValue: 19334000000
CashAndCashEquivalentsPeriodIncreaseDecrease: 5899000000
CashAndCashEquivalentsPeriodIncreaseDecrease: 1333000000
CashAndCashEquivalentsPeriodIncreaseDecrease: 3444000000
CashCashEquivalentsAndShortTermInvestments: 19808000000
CashCashEquivalentsAndShortTermInvestments: 25981000000
CommitmentsFairValueDisclosure: 43084000000
CommonStockValue: 5000000
CommonStockValue: 5000000
ComprehensiveIncomeNetOfTax: -567000000
ComprehensiveIncomeNetOfTax: 384000000
ComprehensiveIncomeNetOfTax: 2109000000
ConstructionLoanNoncurrent: 378000000
ConstructionLoanNoncurrent: 714000000
ContractualObligationDueAfterFifthYear: 17166000000
ContractualObligationDueInFifthYear: 2992000000
ContractualObligationDueInFourthYear: 2743000000
ContractualObligationDueInNextTwelveMonths: 8484000000
ContractualObligationDueInSecondYear: 6209000000
ContractualObligationDueInThirdYear: 5490000000
CostOfGoodsAndServicesSold: 62752000000
CostOfGoodsAndServicesSold: 71651000000
CostOfGoodsAndServicesSold: 88265000000
CostsAndExpenses: 88810000000
CostsAndExpenses: 104773000000
CostsAndExpenses: 131801000000
CurrentFederalTaxExpenseBenefit: 214000000
CurrentFederalTaxExpenseBenefit: 215000000
CurrentFederalTaxExpenseBenefit: 1136000000
CurrentForeignTaxExpenseBenefit: 204000000
