2017 Data:
UnrecognizedTaxBenefitsIncreasesResultingFromCurrentPeriodTaxPositions: 242000000
UnrecognizedTaxBenefitsIncreasesResultingFromCurrentPeriodTaxPositions: 308000000
UnrecognizedTaxBenefitsIncreasesResultingFromCurrentPeriodTaxPositions: 518000000
UnrecognizedTaxBenefitsIncreasesResultingFromPriorPeriodTaxPositions: 254000000
UnrecognizedTaxBenefitsIncreasesResultingFromPriorPeriodTaxPositions: 355000000
UnrecognizedTaxBenefitsIncreasesResultingFromPriorPeriodTaxPositions: 223000000
UnrecognizedTaxBenefitsReductionsResultingFromLapseOfApplicableStatuteOfLimitations: 3000000
UnrecognizedTaxBenefitsReductionsResultingFromLapseOfApplicableStatuteOfLimitations: 1000000
UnrecognizedTaxBenefitsReductionsResultingFromLapseOfApplicableStatuteOfLimitations: 3000000
UnrecognizedTaxBenefitsThatWouldImpactEffectiveTaxRate: 1200000000
UnrecordedUnconditionalPurchaseObligationBalanceOnFifthAnniversary: 2922000000
UnrecordedUnconditionalPurchaseObligationBalanceOnFirstAnniversary: 3527000000
UnrecordedUnconditionalPurchaseObligationBalanceOnFourthAnniversary: 3039000000
UnrecordedUnconditionalPurchaseObligationBalanceOnSecondAnniversary: 3561000000
UnrecordedUnconditionalPurchaseObligationBalanceOnThirdAnniversary: 3195000000
UnrecordedUnconditionalPurchaseObligationBalanceSheetAmount: 24200000000
UnrecordedUnconditionalPurchaseObligationDueAfterFiveYears: 7956000000
ValuationAllowanceDeferredTaxAssetChangeInAmount: 600000000
